Iteration,Acc,b_Acc,Prec,Rec,F1,kap,time
1,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.1053669452667236
2,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.752746820449829
3,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.7915918827056885
4,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.8140783309936523
5,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.7472445964813232
6,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.7878141403198242
7,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.5989079475402832
8,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.078230142593384
9,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.0036399364471436
10,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.0885868072509766
11,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.1222920417785645
12,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.031795024871826
13,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.9146392345428467
14,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.973599910736084
15,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.0688729286193848
16,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.0066254138946533
17,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.107435941696167
18,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.075711250305176
19,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.969407558441162
20,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.1476123332977295
21,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.1259164810180664
22,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.102928876876831
23,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,1.906604528427124
24,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,2.0891013145446777
25,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.8946008682250977
26,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.6327195167541504
27,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.6011404991149902
28,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.6167457103729248
29,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.6129207611083984
30,0.8189560126221344,0.7637552192210599,0.7672970660507917,0.7637552192210599,0.7629392788420839,0.8024114541749665,0.6445236206054688
