,Mean,Std
Acc,0.8189560126221344,0.0
b_Acc,0.7637552192210602,2.2584051416334807e-16
Prec,0.7672970660507915,2.2584051416334807e-16
Rec,0.7637552192210602,2.2584051416334807e-16
F1,0.7629392788420837,2.2584051416334807e-16
kap,0.8024114541749664,1.1292025708167404e-16
time,1.680446712176005,0.5569174571095683
