,Mean,Std
Acc,0.8044626905386397,2.2584051416334807e-16
b_Acc,0.7532250497769574,2.2584051416334807e-16
Prec,0.7560139099453776,2.2584051416334807e-16
Rec,0.7532250497769574,2.2584051416334807e-16
F1,0.7516337643864657,2.2584051416334807e-16
kap,0.7865959242513038,3.387607712450221e-16
time,1.8547972202301026,0.2027455773754008
