,Mean,Std
Acc,0.7831192521091438,3.387607712450221e-16
b_Acc,0.7430568880561803,2.2584051416334807e-16
Prec,0.7372277021738741,2.2584051416334807e-16
Rec,0.7430568880561803,2.2584051416334807e-16
F1,0.734407977018312,3.387607712450221e-16
kap,0.7633452419232898,1.1292025708167404e-16
time,1.8962645371754965,0.2539155536639729
