,Mean,Std
Acc,0.8127067411885481,2.2584051416334807e-16
b_Acc,0.7649834933636738,3.387607712450221e-16
Prec,0.7594326874302486,1.1292025708167404e-16
Rec,0.7649834933636738,3.387607712450221e-16
F1,0.7575438993917092,1.1292025708167404e-16
kap,0.7955552978563343,2.2584051416334807e-16
time,1.8558987855911255,0.5216382017568924
