,Aria,D-LinkCam,D-LinkDayCam,D-LinkDoorSensor,D-LinkHomeHub,D-LinkSensor,D-LinkSiren,D-LinkSwitch,D-LinkWaterSensor,EdimaxCam,EdimaxPlug1101W,EdimaxPlug2101W,EdnetCam,EdnetGateway,HomeMaticPlug,HueBridge,HueSwitch,Lightify,MAXGateway,SmarterCoffee,TP-LinkPlugHS100,TP-LinkPlugHS110,WeMoInsightSwitch,WeMoLink,WeMoSwitch,Withings,iKettle2
EdnetGateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
HomeMaticPlug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HueBridge,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HueSwitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lightify,0.0,20.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1124.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
MAXGateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,128.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
SmarterCoffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,1.0,0.0,0.0,0.0,10.0,5.0
TP-LinkPlugHS100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,92.0,0.0,0.0,0.0,0.0,0.0
TP-LinkPlugHS110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,50.0,112.0,0.0,0.0,0.0,0.0,1.0
WeMoInsightSwitch,1.0,0.0,0.0,0.0,9.0,3.0,7.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0,572.0,268.0,0.0,0.0
WeMoLink,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,286.0,1249.0,54.0,0.0,7.0
WeMoSwitch,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,333.0,113.0,641.0,8.0,0.0
Withings,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0
iKettle2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
