,Mean,Std
Acc,0.7793127069300146,2.2584051416334807e-16
b_Acc,0.7427952325868953,2.2584051416334807e-16
Prec,0.7343074273560506,0.0
Rec,0.7427952325868953,2.2584051416334807e-16
F1,0.735504272839489,2.2584051416334807e-16
kap,0.7593927727527569,1.1292025708167404e-16
time,3.994841154416402,0.5925909137836285
