,Aria,D-LinkCam,D-LinkDayCam,D-LinkDoorSensor,D-LinkHomeHub,D-LinkSensor,D-LinkSiren,D-LinkSwitch,D-LinkWaterSensor,EdimaxCam,EdimaxPlug1101W,EdimaxPlug2101W,EdnetCam,EdnetGateway,HomeMaticPlug,HueBridge,HueSwitch,Lightify,MAXGateway,SmarterCoffee,TP-LinkPlugHS100,TP-LinkPlugHS110,WeMoInsightSwitch,WeMoLink,WeMoSwitch,Withings,iKettle2
Aria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkCam,0.0,0.932038834951456,0.009708737864077667,0.0,0.0,0.020226537216828475,0.0008090614886731397,0.004045307443365693,0.0008090614886731397,0.003236245954692559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029126213592233,0.0,0.0
D-LinkDayCam,0.0,0.0,0.9672131147540987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032786885245901655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkDoorSensor,0.0,0.0,0.001941747572815533,0.9844660194174752,0.0,0.001941747572815533,0.0,0.0,0.003883495145631066,0.0,0.0,0.0,0.0,0.0,0.001941747572815533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001941747572815533,0.0,0.003883495145631066,0.0,0.0
D-LinkHomeHub,0.0,0.03079416531604539,0.0,0.002701242571582927,0.8498109130199898,0.022150189086980007,0.009724473257698542,0.06374932468935707,0.019448946515397084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016207455429497564,0.0,0.0,0.0,0.0
D-LinkSensor,0.0,0.0038143674507310895,0.0,0.0,0.004450095359186267,0.474253019707565,0.18054672600127147,0.06929434202161476,0.26764144945963136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkSiren,0.0,0.0,0.0,0.0,0.0,0.21936758893280642,0.4426877470355729,0.16864295125164686,0.16732542819499327,0.001976284584980238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkSwitch,0.0,0.0018404907975460136,0.0,0.0,0.013496932515337418,0.08036809815950922,0.08404907975460124,0.7730061349693251,0.0392638036809816,0.001226993865030675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0006134969325153375,0.0,0.0
D-LinkWaterSensor,0.0,0.004326328800988876,0.0012360939431396783,0.0,0.0012360939431396783,0.36402966625463534,0.24165636588380732,0.07354758961681092,0.3096415327564895,0.0,0.0,0.0,0.0018541409147095186,0.0,0.0,0.0,0.0,0.0024721878862793566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdimaxCam,0.0,0.0,0.01702127659574469,0.0,0.0,0.0,0.021276595744680847,0.0,0.004255319148936173,0.8978723404255324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01702127659574469,0.0,0.038297872340425504,0.0,0.0,0.0,0.0,0.0,0.0,0.004255319148936173
EdimaxPlug1101W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7163636363636362,0.25454545454545463,0.02909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdimaxPlug2101W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33110367892976617,0.6688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdnetCam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777777,0.03333333333333333,0.8000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888888,0.0,0.0,0.0,0.0
EdnetGateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275862068964,0.0
HomeMaticPlug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007017543859649119,0.9929824561403502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HueBridge,0.0,0.0,0.0,0.0,0.002125963327132607,0.0,0.00026574541589157585,0.0,0.0005314908317831517,0.0,0.0,0.0,0.0,0.0,0.0,0.996545309593409,0.0,0.00026574541589157585,0.0,0.0,0.0,0.0,0.00026574541589157585,0.0,0.0,0.0,0.0
HueSwitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009144947416552355,0.9990855052583453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lightify,0.0,0.017079419299743815,0.0017079419299743802,0.0,0.0,0.009393680614859092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008539709649871901,0.0,0.0,0.0,0.9598633646456027,0.0,0.006831767719897521,0.0,0.0,0.0,0.004269854824935954,0.0,0.0,0.0
