Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1-Score_Mean,F1-Score_Std,Support
Aria,0.9200000000000004,3.3306690738754696e-16,1.0,0.0,0.9583333333333331,2.220446049250313e-16,115.0
D-LinkCam,0.9171974522292994,0.0,0.9320388349514562,1.1102230246251565e-16,0.9245585874799358,0.0,1236.0
D-LinkDayCam,0.9335443037974683,0.0,0.9672131147540984,1.1102230246251565e-16,0.9500805152979065,1.1102230246251565e-16,305.0
D-LinkDoorSensor,0.9883040935672514,1.1102230246251565e-16,0.9844660194174755,2.220446049250313e-16,0.9863813229571988,3.3306690738754696e-16,515.0
D-LinkHomeHub,0.9703886489821097,1.1102230246251565e-16,0.8498109130199895,2.220446049250313e-16,0.9061059907834099,2.220446049250313e-16,1851.0
D-LinkSensor,0.39680851063829786,0.0,0.47425301970756506,1.1102230246251565e-16,0.4320880393860412,5.551115123125783e-17,1573.0
D-LinkSiren,0.44327176781002636,0.0,0.44268774703557295,1.6653345369377348e-16,0.4429795649307844,5.551115123125783e-17,1518.0
D-LinkSwitch,0.668080593849417,2.220446049250313e-16,0.7730061349693251,0.0,0.7167235494880547,1.1102230246251565e-16,1630.0
D-LinkWaterSensor,0.38927738927738914,1.1102230246251565e-16,0.3096415327564894,5.551115123125783e-17,0.3449225473321858,1.1102230246251565e-16,1618.0
EdimaxCam,0.9017094017094015,2.220446049250313e-16,0.8978723404255321,2.220446049250313e-16,0.8997867803837953,0.0,235.0
EdimaxPlug1101W,0.6416938110749187,2.220446049250313e-16,0.7163636363636361,2.220446049250313e-16,0.6769759450171823,1.1102230246251565e-16,275.0
EdimaxPlug2101W,0.7168458781362008,1.1102230246251565e-16,0.6688963210702343,2.220446049250313e-16,0.6920415224913498,3.3306690738754696e-16,299.0
EdnetCam,0.8470588235294119,1.1102230246251565e-16,0.8000000000000003,2.220446049250313e-16,0.8228571428571426,2.220446049250313e-16,90.0
EdnetGateway,0.9849246231155779,0.0,0.9655172413793102,2.220446049250313e-16,0.9751243781094526,1.1102230246251565e-16,203.0
HomeMaticPlug,0.9964788732394365,1.1102230246251565e-16,0.9929824561403506,2.220446049250313e-16,0.9947275922671355,1.1102230246251565e-16,285.0
HueBridge,0.9976057462090978,3.3306690738754696e-16,0.9965453095934093,2.220446049250313e-16,0.997075245945227,3.3306690738754696e-16,3763.0
HueSwitch,1.0,0.0,0.999085505258345,3.3306690738754696e-16,0.9995425434583715,0.0,4374.0
Lightify,0.9808027923211171,2.220446049250313e-16,0.9598633646456023,2.220446049250313e-16,0.9702201122140697,2.220446049250313e-16,1171.0
MAXGateway,1.0,0.0,0.8827586206896555,3.3306690738754696e-16,0.9377289377289377,0.0,145.0
SmarterCoffee,0.25882352941176473,0.0,0.47826086956521735,5.551115123125783e-17,0.3358778625954197,1.6653345369377348e-16,46.0
TP-LinkPlugHS100,0.6178343949044586,0.0,0.5132275132275131,1.1102230246251565e-16,0.5606936416184971,0.0,189.0
TP-LinkPlugHS110,0.5333333333333333,0.0,0.6627218934911243,0.0,0.5910290237467019,0.0,169.0
WeMoInsightSwitch,0.5598086124401915,1.1102230246251565e-16,0.48091603053435106,1.1102230246251565e-16,0.5173720783322806,1.1102230246251565e-16,1703.0
WeMoLink,0.6438144329896905,2.220446049250313e-16,0.7762585456805472,2.220446049250313e-16,0.7038602423217808,0.0,1609.0
WeMoSwitch,0.6371769383697813,0.0,0.5723214285714283,2.220446049250313e-16,0.6030103480714959,1.1102230246251565e-16,1120.0
Withings,0.8815165876777253,2.220446049250313e-16,0.9587628865979382,0.0,0.9185185185185183,2.220446049250313e-16,194.0
iKettle2,0.0,0.0,0.0,0.0,0.0,0.0,46.0
