,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.949838188,0,0,0.004854369,0.020226537,0,0.00566343,0.006472492,0.006472492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006472492,0,0
3,0,0.003278689,0.970491803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009836066,0,0.003278689,0,0,0,0,0,0,0.013114754
4,0,0,0,0.978640777,0,0.003883495,0,0,0,0.017475728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.002160994,0,0.004321988,0.86925986,0.011345219,0.024311183,0.051863857,0.032955159,0,0,0,0,0,0,0.002160994,0.000540249,0,0,0,0,0.000540249,0,0.000540249,0,0,0
6,0,0.000635728,0,0,0.00317864,0.353464717,0.195804196,0.034329307,0.410680229,0,0.001271456,0,0,0,0,0,0,0.000635728,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0.123188406,0.534255599,0.182476943,0.158761528,0.001317523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.003680982,0.049693252,0.104294479,0.782208589,0.058895706,0.001226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.000618047,0.000618047,0,0.001854141,0.289245983,0.244746601,0.042027194,0.415945612,0,0,0,0,0,0,0,0,0.003708282,0,0.000618047,0,0.000618047,0,0,0,0,0
10,0,0,0.017021277,0,0,0.017021277,0,0,0.008510638,0.919148936,0,0,0.017021277,0,0.004255319,0,0,0.008510638,0,0,0,0,0,0,0,0.004255319,0.004255319
11,0,0,0,0,0,0,0,0,0,0,0.789090909,0.181818182,0.029090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.314381271,0.685618729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0.022222222,0,0,0,0,0,0.011111111,0.077777778,0.788888889,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.009852217,0,0.955665025,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003508772,0.996491228,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0.002391709,0.000265745,0,0,0,0,0,0,0,0,0,0.992824874,0,0.001328727,0,0,0,0,0.002657454,0.000265745,0,0,0.000265745
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143118,0.998856882,0,0,0,0,0,0,0,0,0,0
18,0,0.04440649,0,0,0,0,0.002561913,0,0.004269855,0.000853971,0,0,0,0,0,0,0,0.940222032,0,0.001707942,0,0,0,0,0,0,0.005977797
19,0,0.006896552,0,0,0,0.006896552,0,0,0,0.048275862,0,0,0,0,0,0,0,0,0.882758621,0.020689655,0.034482759,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,0.173913043,0,0,0,0,0.282608696,0.282608696
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566137566,0.433862434,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017751479,0,0,0,0.023668639,0,0.00591716,0.213017751,0.721893491,0.01183432,0,0,0,0.00591716
23,0.00645919,0.032883147,0,0,0.004110393,0.008220787,0.000587199,0.009982384,0.002935995,0.000587199,0,0,0,0,0,0.000587199,0,0,0,0,0.001174398,0.002348796,0.588373459,0.285965942,0.055783911,0,0
24,0.00621504,0,0,0,0,0,0,0.000621504,0,0,0,0.001864512,0.000621504,0.001864512,0,0.001243008,0,0,0,0,0.002486016,0.006836544,0.099440646,0.857675575,0.016780609,0,0.004350528
25,0.005357143,0.001785714,0.000892857,0,0.000892857,0,0,0,0,0.021428571,0.001785714,0,0,0,0,0.005357143,0,0,0,0,0,0,0.299107143,0.1,0.558035714,0.005357143,0
26,0.036082474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963917526,0
27,0.065217391,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108695652,0,0.369565217,0,0,0.086956522,0,0,0,0.282608696
