,Mean,Std
Acc,0.7984776403425305,3.387607712450221e-16
b_Acc,0.7630808466936717,1.1292025708167404e-16
Prec,0.7582542702346616,2.2584051416334807e-16
Rec,0.7630808466936717,1.1292025708167404e-16
F1,0.7569787749782141,2.2584051416334807e-16
kap,0.7802700129223876,2.2584051416334807e-16
time,1.2396216869354248,0.6059954356333714
