,Aria,D-LinkCam,D-LinkDayCam,D-LinkDoorSensor,D-LinkHomeHub,D-LinkSensor,D-LinkSiren,D-LinkSwitch,D-LinkWaterSensor,EdimaxCam,EdimaxPlug1101W,EdimaxPlug2101W,EdnetCam,EdnetGateway,HomeMaticPlug,HueBridge,HueSwitch,Lightify,MAXGateway,SmarterCoffee,TP-LinkPlugHS100,TP-LinkPlugHS110,WeMoInsightSwitch,WeMoLink,WeMoSwitch,Withings,iKettle2
EdimaxPlug1101W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7890909090909091,0.18181818181818174,0.02909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdimaxPlug2101W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143812709030101,0.6856187290969903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdnetCam,0.0,0.0,0.0,0.0,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.01111111111111111,0.07777777777777777,0.7888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000005,0.0,0.0,0.0,0.0
EdnetGateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009852216748768466,0.0,0.9556650246305416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275862068964,0.0
HomeMaticPlug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035087719298245593,0.9964912280701758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HueBridge,0.0,0.0,0.0,0.0,0.0023917087430241823,0.00026574541589157585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992824873770928,0.0,0.0013287270794578793,0.0,0.0,0.0,0.0,0.0026574541589157587,0.00026574541589157585,0.0,0.0,0.00026574541589157585
HueSwitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001143118427069045,0.9988568815729304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lightify,0.0,0.044406490179333936,0.0,0.0,0.0,0.0,0.0025619128949615714,0.0,0.004269854824935954,0.0008539709649871901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402220324508972,0.0,0.0017079419299743802,0.0,0.0,0.0,0.0,0.0,0.0,0.005977796754910335
MAXGateway,0.0,0.006896551724137935,0.0,0.0,0.0,0.006896551724137935,0.0,0.0,0.0,0.04827586206896554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827586206896557,0.020689655172413793,0.03448275862068964,0.0,0.0,0.0,0.0,0.0,0.0
SmarterCoffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173914,0.17391304347826078,0.0,0.0,0.0,0.0,0.2826086956521739,0.2826086956521739
TP-LinkPlugHS100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661375661375664,0.4338624338624336,0.0,0.0,0.0,0.0,0.0
TP-LinkPlugHS110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017751479289940822,0.0,0.0,0.0,0.023668639053254444,0.0,0.005917159763313611,0.21301775147929009,0.7218934911242603,0.011834319526627222,0.0,0.0,0.0,0.005917159763313611
WeMoInsightSwitch,0.006459189665296536,0.03288314738696418,0.0,0.0,0.004110393423370522,0.008220786846741044,0.0005871990604815032,0.009982384028185553,0.002935995302407514,0.0005871990604815032,0.0,0.0,0.0,0.0,0.0,0.0005871990604815032,0.0,0.0,0.0,0.0,0.0011743981209630064,0.002348796241926013,0.5883734586024665,0.2859659424544922,0.055783910745742786,0.0,0.0
WeMoLink,0.006215040397762586,0.0,0.0,0.0,0.0,0.0,0.0,0.0006215040397762585,0.0,0.0,0.0,0.001864512119328775,0.0006215040397762585,0.001864512119328775,0.0,0.001243008079552517,0.0,0.0,0.0,0.0,0.002486016159105034,0.00683654443753884,0.09944064636420137,0.8576755748912366,0.016780609073958966,0.0,0.004350528278433809
WeMoSwitch,0.005357142857142857,0.001785714285714286,0.000892857142857143,0.0,0.000892857142857143,0.0,0.0,0.0,0.0,0.02142857142857143,0.001785714285714286,0.0,0.0,0.0,0.0,0.005357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.29910714285714296,0.10000000000000005,0.558035714285714,0.005357142857142857,0.0
Withings,0.03608247422680412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639175257731952,0.0
iKettle2,0.06521739130434785,0.0,0.0,0.08695652173913039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391307,0.0,0.3695652173913045,0.0,0.0,0.08695652173913039,0.0,0.0,0.0,0.2826086956521739
