,Aria,D-LinkCam,D-LinkDayCam,D-LinkDoorSensor,D-LinkHomeHub,D-LinkSensor,D-LinkSiren,D-LinkSwitch,D-LinkWaterSensor,EdimaxCam,EdimaxPlug1101W,EdimaxPlug2101W,EdnetCam,EdnetGateway,HomeMaticPlug,HueBridge,HueSwitch,Lightify,MAXGateway,SmarterCoffee,TP-LinkPlugHS100,TP-LinkPlugHS110,WeMoInsightSwitch,WeMoLink,WeMoSwitch,Withings,iKettle2
Aria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkCam,0.0,0.9498381877022657,0.0,0.0,0.004854368932038834,0.020226537216828475,0.0,0.005663430420711973,0.006472491909385118,0.006472491909385118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006472491909385118,0.0,0.0
D-LinkDayCam,0.0,0.0032786885245901644,0.9704918032786881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009836065573770486,0.0,0.0032786885245901644,0.0,0.0,0.0,0.0,0.0,0.0,0.013114754098360657
D-LinkDoorSensor,0.0,0.0,0.0,0.9786407766990298,0.0,0.003883495145631066,0.0,0.0,0.0,0.017475728155339817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkHomeHub,0.0,0.0021609940572663434,0.0,0.004321988114532687,0.8692598595353863,0.011345218800648298,0.02431118314424637,0.051863857374392204,0.032955159373311727,0.0,0.0,0.0,0.0,0.0,0.0,0.0021609940572663434,0.0005402485143165859,0.0,0.0,0.0,0.0,0.0005402485143165859,0.0,0.0005402485143165859,0.0,0.0,0.0
D-LinkSensor,0.0,0.0006357279084551814,0.0,0.0,0.0031786395422759056,0.3534647171010808,0.1958041958041958,0.03432930705657978,0.41068022886204686,0.0,0.0012714558169103628,0.0,0.0,0.0,0.0,0.0,0.0,0.0006357279084551814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkSiren,0.0,0.0,0.0,0.0,0.0,0.12318840579710152,0.5342555994729904,0.18247694334650869,0.1587615283267457,0.001317523056653491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkSwitch,0.0,0.0,0.0,0.0,0.003680981595092027,0.04969325153374233,0.10429447852760733,0.7822085889570548,0.058895705521472434,0.001226993865030675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-LinkWaterSensor,0.0,0.0006180469715698391,0.0006180469715698391,0.0,0.0018541409147095186,0.2892459826946848,0.2447466007416565,0.04202719406674908,0.41594561186650175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037082818294190373,0.0,0.0006180469715698391,0.0,0.0006180469715698391,0.0,0.0,0.0,0.0,0.0
EdimaxCam,0.0,0.0,0.01702127659574469,0.0,0.0,0.01702127659574469,0.0,0.0,0.008510638297872346,0.9191489361702131,0.0,0.0,0.01702127659574469,0.0,0.004255319148936173,0.0,0.0,0.008510638297872346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004255319148936173,0.004255319148936173
