Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1-Score_Mean,F1-Score_Std,Support
Aria,0.7533333333333334,1.1102230246251565e-16,1.0,0.0,0.8593155893536124,2.220446049250313e-16,113.0
D-LinkCam,0.908668730650155,2.220446049250313e-16,0.9498381877022655,1.1102230246251565e-16,0.9287974683544307,3.3306690738754696e-16,1236.0
D-LinkDayCam,0.980132450331126,1.1102230246251565e-16,0.9704918032786883,2.220446049250313e-16,0.9752883031301484,1.1102230246251565e-16,305.0
D-LinkDoorSensor,0.9767441860465113,3.3306690738754696e-16,0.9786407766990295,3.3306690738754696e-16,0.9776915615906887,0.0,515.0
D-LinkHomeHub,0.9763349514563103,3.3306690738754696e-16,0.8692598595353863,0.0,0.9196913403829668,3.3306690738754696e-16,1851.0
D-LinkSensor,0.40882352941176464,5.551115123125783e-17,0.35346471710108085,1.1102230246251565e-16,0.37913399249914753,1.1102230246251565e-16,1573.0
D-LinkSiren,0.46770472895040366,5.551115123125783e-17,0.5342555994729906,1.1102230246251565e-16,0.49876998769987696,5.551115123125783e-17,1518.0
D-LinkSwitch,0.710306406685237,2.220446049250313e-16,0.782208588957055,2.220446049250313e-16,0.7445255474452556,1.1102230246251565e-16,1630.0
D-LinkWaterSensor,0.3874496257915947,0.0,0.41594561186650175,1.1102230246251565e-16,0.4011922503725781,1.1102230246251565e-16,1618.0
EdimaxCam,0.8000000000000003,2.220446049250313e-16,0.9191489361702129,1.1102230246251565e-16,0.8554455445544557,2.220446049250313e-16,235.0
EdimaxPlug1101W,0.6867088607594939,2.220446049250313e-16,0.7890909090909091,0.0,0.7343485617597296,3.3306690738754696e-16,275.0
EdimaxPlug2101W,0.7677902621722844,2.220446049250313e-16,0.6856187290969902,2.220446049250313e-16,0.7243816254416965,3.3306690738754696e-16,299.0
EdnetCam,0.8452380952380951,1.1102230246251565e-16,0.7888888888888886,2.220446049250313e-16,0.8160919540229882,3.3306690738754696e-16,90.0
EdnetGateway,0.9651741293532337,2.220446049250313e-16,0.9556650246305417,2.220446049250313e-16,0.9603960396039604,0.0,203.0
HomeMaticPlug,0.9964912280701756,2.220446049250313e-16,0.9964912280701756,2.220446049250313e-16,0.9964912280701756,2.220446049250313e-16,285.0
HueBridge,0.995205114544486,1.1102230246251565e-16,0.9928248737709277,2.220446049250313e-16,0.9940135692430488,2.220446049250313e-16,3763.0
HueSwitch,0.9997711670480551,2.220446049250313e-16,0.9988568815729307,2.220446049250313e-16,0.9993138151875568,3.3306690738754696e-16,4374.0
Lightify,0.9769299023957412,2.220446049250313e-16,0.9402220324508969,2.220446049250313e-16,0.9582245430809403,3.3306690738754696e-16,1171.0
MAXGateway,1.0,0.0,0.8827586206896555,3.3306690738754696e-16,0.9377289377289377,0.0,145.0
SmarterCoffee,0.3243243243243244,5.551115123125783e-17,0.26086956521739135,5.551115123125783e-17,0.2891566265060241,0.0,46.0
TP-LinkPlugHS100,0.6604938271604939,0.0,0.5661375661375663,1.1102230246251565e-16,0.6096866096866097,0.0,189.0
TP-LinkPlugHS110,0.5520361990950227,0.0,0.7218934911242602,2.220446049250313e-16,0.6256410256410257,1.1102230246251565e-16,169.0
WeMoInsightSwitch,0.6583442838370565,0.0,0.5883734586024663,0.0,0.621395348837209,2.220446049250313e-16,1703.0
WeMoLink,0.6966178697627463,2.220446049250313e-16,0.8576755748912366,2.220446049250313e-16,0.7688022284122561,2.220446049250313e-16,1609.0
WeMoSwitch,0.8278145695364241,2.220446049250313e-16,0.5580357142857142,1.1102230246251565e-16,0.6666666666666669,2.220446049250313e-16,1120.0
Withings,0.8738317757009348,2.220446049250313e-16,0.9639175257731956,3.3306690738754696e-16,0.9166666666666669,2.220446049250313e-16,194.0
iKettle2,0.27659574468085096,1.1102230246251565e-16,0.2826086956521739,0.0,0.2795698924731182,5.551115123125783e-17,46.0
